LAT,LOG,YEAR,Month,Street
41.735785266,-87.64375883,2020,3,HALSTED ST
41.887672221,-87.62057394,2020,3,LOWER WACKER DR
41.946440039,-87.714075062,2020,3,ADDISON ST
41.735468459,-87.692370736,2020,3,87TH ST
41.761305471,-87.557705515,2020,3,SOUTH SHORE DR
41.753659493,-87.565958277,2020,3,78TH ST
41.790675711,-87.74166638,2020,3,CICERO AVE
41.920153101,-87.754949209,2020,3,LEAMINGTON AVE
41.793513514,-87.630344475,2020,3,WENTWORTH AVE
41.779859246,-87.631424377,2020,3,63RD ST
41.88241213,-87.629268731,2020,3,DEARBORN ST
41.792912352,-87.742387797,2020,3,55TH ST
41.940250346,-87.639531942,2020,3,BELMONT AVE
41.990284975,-87.707481956,2020,3,PETERSON AVE
41.893454199,-87.650126087,2020,3,ERIE ST
41.8550172,-87.630105492,2020,3,ARCHER AVE
41.895704525,-87.702218524,2020,3,CHICAGO AVE
41.890934401,-87.687831083,2020,3,GRAND AVE
41.782470517,-87.663205184,2020,3,JUSTINE ST
41.892606129,-87.622547575,2020,3,ST CLAIR ST
41.862556229,-87.691898357,2020,3,OGDEN AVE
41.749290775,-87.721757034,2020,3,PULASKI RD
41.865007421,-87.619142222,2020,3,LAKE SHORE DR E
41.965587132,-87.651692327,2020,3,WILSON AVE
41.691891756,-87.680205221,2020,3,111TH ST
41.961617925,-87.654869241,2020,3,BROADWAY
41.925254729,-87.722048828,2020,3,HAMLIN AVE
41.910168083,-87.711996097,2020,3,KIMBALL AVE
41.895483874,-87.634247373,2020,3,SUPERIOR ST
41.965475453,-87.659701562,2020,3,WILSON AVE
41.895957634,-87.675685727,2020,3,WINCHESTER AVE
41.881352472,-87.666946025,2020,3,ASHLAND AVE
41.784644173,-87.801067601,2020,3,HARLEM AVE
41.910621451,-87.63484097,2020,3,WELLS ST
41.76179534,-87.608981828,2020,3,CHAMPLAIN AVE
41.670390263,-87.658606422,2020,3,123RD ST
41.801829631,-87.587826048,2020,3,LAKE PARK AVE
42.011693335,-87.811571674,2020,3,TOUHY AVE
41.741803599,-87.740953582,2020,3,CICERO AVE
41.909880868,-87.7351582,2020,3,NORTH AVE
41.787397463,-87.591259628,2020,3,MIDWAY PLAISANCE
41.771028007,-87.586417187,2020,3,STONY ISLAND AVE
41.961010339,-87.691944203,2020,3,CAMPBELL AVE
41.721734201,-87.631165462,2020,3,95TH ST
41.919449608,-87.772057607,2020,3,MONITOR AVE
41.798227253,-87.625623754,2020,3,53RD ST
41.89038911,-87.706253048,2020,3,KEDZIE AVE
41.81905229,-87.723819222,2020,3,PULASKI RD
41.73597066,-87.604951464,2020,3,COTTAGE GROVE AVE
41.793478362,-87.674426221,2020,3,DAMEN AVE
41.769155335,-87.626812676,2020,3,LAFAYETTE AVE
41.877611658,-87.674227868,2020,3,JACKSON BLVD
41.89199316,-87.70760707,2020,3,OHIO ST
41.831477838,-87.646272001,2020,3,HALSTED ST
41.849337896,-87.673347897,2020,3,BLUE ISLAND AVE
42.01003616,-87.674052919,2020,3,CLARK ST
41.903590314,-87.659213209,2020,3,DIVISION ST
41.816635706,-87.611785954,2020,3,ST LAWRENCE AVE
41.997879311,-87.806850541,2020,3,DEVON AVE
41.791852039,-87.800026269,2020,3,ARCHER AVE
41.927088959,-87.795497292,2020,3,OAK PARK AVE
41.909923532,-87.713441457,2020,3,NORTH AVE
41.823051305,-87.684746368,2020,3,WESTERN AVE
41.891769778,-87.658604614,2020,3,OGDEN AVE
41.803934842,-87.61269121,2020,3,FORRESTVILLE AVE
41.7689916,-87.630007406,2020,3,WENTWORTH AVE
41.752081197,-87.663624437,2020,3,ASHLAND AVE
41.743430167,-87.631937809,2020,3,83RD ST
41.85220795,-87.685498578,2020,3,WESTERN AVE
42.004943106,-87.689921439,2020,3,WESTERN AVE
41.793590116,-87.664720996,2020,3,ASHLAND AVE
41.926570638,-87.712305802,2020,3,KIMBALL AVE
41.785820613,-87.723389149,2020,3,59TH ST
41.96304074,-87.756739946,2020,3,MILWAUKEE AVE
41.895249793,-87.726583416,2020,3,CHICAGO AVE
41.721347368,-87.643273213,2020,3,95TH ST
41.7258881,-87.585558786,2020,3,STONY ISLAND AVE
41.895677602,-87.684270869,2020,3,CHICAGO AVE
41.950902008,-87.7105295,2020,3,SPAULDING AVE
41.885694818,-87.65208577,2020,3,LAKE ST
41.707322881,-87.620318568,2020,3,103RD ST
41.951472177,-87.710250817,2020,3,SPAULDING AVE
41.92060614,-87.637302135,2020,3,CLARK ST
41.892741648,-87.618288156,2020,3,OHIO ST
41.69904227,-87.54023307,2020,3,AVENUE O
41.874060108,-87.668384741,2020,3,HARRISON ST
41.858839471,-87.734797827,2020,3,16TH ST
41.791777111,-87.693891046,2020,3,CALIFORNIA AVE
41.750769346,-87.642885765,2020,3,79TH ST
41.858619949,-87.734794538,2020,3,16TH ST
41.660510228,-87.635180697,2020,3,PARNELL AVE
